cdcr_code,name,latitude,longitude,average_2025_population,exposure_score,vulnerability_score,AQI_norm,ratio_indoor_to_outdoor,days_indoor_above_78f_2025,uhi_normalized,medical_acuity,cchcs_age_over_50_pct_2025,cchcs_mental_health_eop_pct_2025,cchcs_dpp_pct_2025,race_peopleofcolor_pct,rhu_pct_2025,dist_nearest_medical_mi,in_urban_area_2020,california_model_facility,year_opened,hazard_score,risk_score,risk_category,time_period
ASP,Avenal State Prison,35.97394943680589,-120.123101823151,3891.0,0.47,0.19,34.12999199345762,0.815,132,0.0,38.5,28.8,0.0,4.0,0.7460164482138267,0.0,0.33,True,,1987.0,0.55,18.99,Lowest,current
ASP,Avenal State Prison,35.97394943680589,-120.123101823151,3891.0,0.47,0.19,34.12999199345762,0.815,132,0.0,38.5,28.8,0.0,4.0,0.7460164482138267,0.0,0.33,True,,1987.0,0.59,20.13,Lowest,midcentury
CAL,Calipatria State Prison,33.16569335411168,-115.4843440200192,2462.0,0.22,0.21,34.1657626589918,0.757,137,0.0,21.299999999999997,10.3,0.0,3.9,0.9204914703493096,4.15,0.51,False,,1992.0,0.72,13.0,Lowest,current
CAL,Calipatria State Prison,33.16569335411168,-115.4843440200192,2462.0,0.22,0.21,34.1657626589918,0.757,137,0.0,21.299999999999997,10.3,0.0,3.9,0.9204914703493096,4.15,0.51,False,,1992.0,0.71,12.7,Lowest,midcentury
CCI,California Correctional Institution,35.10991555190383,-118.57033067748,2434.0,0.51,0.31,45.871387949762784,1.278,115,,62.3,17.8,6.2,5.7,0.8293618186798137,3.1333,0.41,False,,1954.0,0.44,26.8,Moderate,current
CCI,California Correctional Institution,35.10991555190383,-118.57033067748,2434.0,0.51,0.31,45.871387949762784,1.278,115,,62.3,17.8,6.2,5.7,0.8293618186798137,3.1333,0.41,False,,1954.0,0.54,32.52,Moderate,midcentury
CCWF,Central California Women'S Facility,37.0936807963828,-120.15270979438849,2040.0,0.43,0.3,54.67109503384696,0.599,97,0.0913,80.9,20.8,5.0,14.1,0.7066993464052289,2.6,0.26,False,Yes,1990.0,0.68,33.14,Moderate,current
CCWF,Central California Women'S Facility,37.0936807963828,-120.15270979438849,2040.0,0.43,0.3,54.67109503384696,0.599,97,0.0913,80.9,20.8,5.0,14.1,0.7066993464052289,2.6,0.26,False,Yes,1990.0,0.74,36.42,Moderate,midcentury
CEN,Centinela State Prison,32.82339731050856,-115.7890554901459,2984.0,0.07,0.24,43.55668748025076,0.228,42,0.0,22.299999999999997,12.3,0.0,4.0,0.93923145665773,2.475,0.25,False,,1993.0,0.77,4.64,Lowest,current
CEN,Centinela State Prison,32.82339731050856,-115.7890554901459,2984.0,0.07,0.24,43.55668748025076,0.228,42,0.0,22.299999999999997,12.3,0.0,4.0,0.93923145665773,2.475,0.25,False,,1993.0,0.8,4.82,Lowest,midcentury
